avbid,store_code,name,locale,url
cn0009,cn0009,MacArthur's Appliances Store View - cn0009,en_CA,https://www.macarthurappliances.ca/
cn0010,cn0010,Barber & Haskill Store View - cn0010,en_CA,https://www.barberandhaskill.com/
cn099,cn099,Ameublement BrandSource Rice Store View - English -  cn099,en_CA,https://www.brandsourcerice.ca/
cn0025,cn0025,Bonanza Furniture Store View - English - cn0025,en_CA,https://www.bonanzafurniture.ca/
cn0145,cn0145,Red Barn Store View - English - cn0145,en_CA,https://www.redbarngrandfalls.ca/
cn0150,cn0150,Universal Appliances Store View - English - cn0150,en_CA,https://www.universalappliances.com/
cn095,cn095,BrandSource JGR - Store View - French - cn095,fr_CA,https://www.brandsourcejgr.ca/
cn0103,cn0103,Ameublement BrandSource Ste-Justine Store View - cn0103,fr_CA,https://www.brandsourcestejustine.ca/
cn0120,cn0120,Ameublement BrandSource Signé Daigneault Store View - cn0120,fr_CA,https://www.brandsourcedaigneault.ca/
cn0061,cn0061,Meubles & Nous Store View - cn0061,fr_CA,https://www.meublesetnous.com/
cn0065,cn0065,Mobilier 2000 Store View - cn0065,fr_CA,https://www.mobilier2000.com/
cn0015,cn0015,Alpha's Appliance Solutions Store View - cn0015,en_CA,https://www.appliancesolutions.ca/
cn0124,cn0124,Jonas Appliances Store View - cn0124,en_CA,https://www.jonasappliances.com/
cn0125,cn0125,The Maytag Store Store View - cn0125,en_CA,https://www.theappliancestore.ca/
cn0123,cn0123,Atlas Appliances Store View - cn0123,en_CA,https://www.atlasappliances.com/
cat_canada,cat_canada,AVB Canada Test Store View - French - cat_canada,fr_CA,https://cat-ca.avbportal.com/
cn0003,cn0003,Green's BrandSource Store View - cn0003,en_CA,https://www.greensbrandsource.ca/
cn0059,cn0059,Matus Appliances Store View - cn0059,en_CA,https://www.matusonline.com/
cn0085,cn0085,Wardell's Factory Warehouse Store View - cn0085,en_CA,https://www.wardells.ca/
canada_franchise,canada_franchise,BrandSource Canada Store View - canada_franchise,en_CA,https://canada-franchise.avbmarketing.com/
cn0022,cn0022,Aspen Appliance & Furniture Inc. Store View - cn0022,en_CA,https://www.aspenapplianceandfurniture.com/
cn0050,cn0050,Johan's BrandSource Store View - cn0050,en_CA,https://www.johans.com/
cn0062,cn0062,Midland Appliance World Store View - cn0062,en_CA,https://www.midlandappliance.ca/
cn0073,cn0073,Saskatoon Appliance Store View - cn0073,en_CA,https://www.saskatoonappliance.com/
